step,gini
766,0.133446
767,0.138579
768,0.151515
769,0.154548
770,0.153098
771,0.148323
772,0.135093
773,0.137238
774,0.121897
775,0.127391
776,0.133223
777,0.131169
778,0.122426
779,0.125632
780,0.130825
781,0.135443
782,0.133693
783,0.144345
784,0.131138
785,0.146453
786,0.141826
787,0.133340
788,0.134605
789,0.130019
790,0.118775
791,0.115574
792,0.120714
793,0.109433
794,0.113603
795,0.109902
796,0.108945
797,0.110017
798,0.104481
799,0.109180
800,0.108255
801,0.102480
802,0.115408
803,0.113290
804,0.122281
805,0.134133
806,0.148132
807,0.133379
808,0.122642
809,0.116112
810,0.108756
811,0.107405
812,0.104938
813,0.107680
814,0.110207
815,0.100339
816,0.100139
817,0.108092
818,0.112985
819,0.109945
820,0.103132
821,0.103482
822,0.109061
823,0.120236
824,0.136022
825,0.122870
826,0.121695
827,0.110951
828,0.110048
829,0.102201
830,0.107406
831,0.104737
832,0.116237
833,0.110063
834,0.104079
835,0.101854
836,0.093876
837,0.105334
838,0.104213
839,0.098169
840,0.107235
841,0.118678
842,0.121616
843,0.118218
844,0.128559
845,0.134702
846,0.133222
847,0.136517
848,0.132701
849,0.130944
850,0.140979
851,0.129886
852,0.135988
853,0.124230
854,0.125689
855,0.124179
856,0.127860
857,0.138259
858,0.130667
859,0.127673
860,0.143109
861,0.143615
862,0.149492
863,0.147958
864,0.150423
865,0.157752
866,0.156207
867,0.152835
868,0.145944
869,0.142307
870,0.143035
871,0.140121
872,0.154519
873,0.153112
874,0.166328
875,0.166076
876,0.164970
877,0.164946
878,0.167678
879,0.152214
880,0.145984
881,0.151354
882,0.151625
883,0.157114
884,0.158448
885,0.169097
886,0.168405
887,0.174915
888,0.185292
889,0.181288
890,0.181802
891,0.186351
892,0.199181
893,0.193302
894,0.189634
895,0.192153
896,0.194704
897,0.190091
898,0.189494
899,0.183556
900,0.171053
901,0.173724
902,0.168397
903,0.168523
904,0.159911
905,0.172583
906,0.156526
907,0.152708
908,0.159233
909,0.169053
910,0.171915
911,0.176205
912,0.169728
913,0.162772
914,0.149960
915,0.142192
916,0.140990
917,0.159672
918,0.167087
919,0.162478
920,0.162817
921,0.169812
922,0.166516
923,0.159912
924,0.161441
925,0.168970
926,0.177640
927,0.173229
928,0.165046
929,0.181308
930,0.181831
931,0.173667
932,0.174049
933,0.192945
934,0.189017
935,0.189313
936,0.190148
937,0.200421
938,0.190114
939,0.193245
940,0.178144
941,0.186331
942,0.182380
943,0.190640
944,0.197945
945,0.203217
946,0.202779
947,0.192850
948,0.206017
949,0.197576
950,0.191421
951,0.180409
952,0.181496
953,0.193989
954,0.212748
955,0.192351
956,0.205356
957,0.198214
958,0.190498
959,0.184244
960,0.181424
961,0.176387
962,0.199395
963,0.200705
964,0.193591
965,0.195019
966,0.183218
967,0.188342
968,0.188385
969,0.191723
970,0.190011
971,0.180582
972,0.176865
973,0.175069
974,0.175221
975,0.172696
976,0.165419
977,0.159863
978,0.167802
979,0.176879
980,0.173557
981,0.184121
982,0.190101
983,0.188249
984,0.188638
985,0.192464
986,0.184804
987,0.188623
988,0.194239
989,0.181389
990,0.189656
991,0.190055
992,0.181325
993,0.174315
994,0.171780
995,0.172498
996,0.164833
997,0.156574
998,0.148104
999,0.150211
1000,0.142495
1001,0.135173
1002,0.128047
1003,0.140944
1004,0.133246
1005,0.138851
1006,0.143054
1007,0.148234
1008,0.143819
1009,0.147131
1010,0.157505
1011,0.147509
1012,0.146577
1013,0.147621
1014,0.162101
1015,0.164341
1016,0.156547
1017,0.168371
1018,0.148523
1019,0.152053
1020,0.150356
1021,0.152142
1022,0.150676
1023,0.146976
1024,0.148408
1025,0.158936
1026,0.164781
1027,0.163834
1028,0.172355
1029,0.164759
1030,0.153958
1031,0.147575
1032,0.142076
1033,0.141101
1034,0.140945
1035,0.137812
1036,0.148404
1037,0.143657
1038,0.149310
1039,0.162416
1040,0.149944
1041,0.141308
1042,0.144590
1043,0.136764
1044,0.137384
1045,0.138700
1046,0.131625
1047,0.133964
1048,0.136188
1049,0.149375
1050,0.159108
1051,0.148282
1052,0.143331
1053,0.146797
1054,0.139200
1055,0.132047
1056,0.134857
1057,0.127950
1058,0.147460
1059,0.155484
1060,0.164895
1061,0.162906
1062,0.136753
1063,0.135236
1064,0.131612
1065,0.139115
1066,0.124157
1067,0.126885
1068,0.139998
1069,0.137945
1070,0.136934
1071,0.145145
1072,0.157031
1073,0.159940
1074,0.150081
1075,0.143186
1076,0.137993
1077,0.129642
1078,0.125660
1079,0.123832
1080,0.110618
1081,0.097492
1082,0.092175
1083,0.087779
1084,0.094557
1085,0.101424
1086,0.110156
1087,0.114050
1088,0.119733
1089,0.114996
1090,0.095786
1091,0.096516
1092,0.085639
1093,0.092703
1094,0.100716
1095,0.106134
1096,0.103983
1097,0.121505
1098,0.112859
1099,0.120925
1100,0.128203
1101,0.132230
1102,0.136907
1103,0.132352
1104,0.132911
1105,0.128097
1106,0.129002
1107,0.130015
1108,0.138202
1109,0.138088
1110,0.139272
1111,0.131815
1112,0.136293
1113,0.118262
1114,0.116937
1115,0.114490
1116,0.108337
1117,0.113024
1118,0.120836
1119,0.116378
1120,0.103179
1121,0.111470
1122,0.117350
1123,0.116571
1124,0.126339
1125,0.125334
1126,0.135771
1127,0.137831
1128,0.145975
1129,0.132034
1130,0.132569
1131,0.135048
1132,0.130148
1133,0.129854
1134,0.123266
1135,0.126186
1136,0.117210
1137,0.127464
1138,0.129356
1139,0.122120
1140,0.110491
1141,0.120099
1142,0.112891
1143,0.118497
1144,0.117950
1145,0.120938
1146,0.137276
1147,0.134428
1148,0.124267
1149,0.134633
1150,0.130411
1151,0.136294
1152,0.137674
1153,0.142737
1154,0.140047
1155,0.146327
1156,0.148158
1157,0.146490
1158,0.143958
1159,0.141492
1160,0.142742
1161,0.137768
1162,0.150214
1163,0.161947
1164,0.173700
1165,0.160757
1166,0.164747
1167,0.157982
1168,0.148342
1169,0.147460
1170,0.141737
1171,0.146107
1172,0.143173
1173,0.153132
1174,0.144211
1175,0.147434
1176,0.142870
1177,0.145134
1178,0.140535
1179,0.153918
1180,0.147149
1181,0.140094
1182,0.136092
1183,0.122021
1184,0.115406
1185,0.115164
1186,0.123540
1187,0.114925
1188,0.123844
1189,0.116365
1190,0.118807
1191,0.116235
1192,0.121962
1193,0.110819
1194,0.118909
1195,0.103846
1196,0.099061
1197,0.106844
1198,0.098816
1199,0.090992
1200,0.086751
1201,0.081942
1202,0.081614
1203,0.084222
1204,0.084669
1205,0.080242
1206,0.083975
1207,0.074685
1208,0.088116
1209,0.087636
1210,0.084963
1211,0.084745
1212,0.095941
1213,0.101326
1214,0.109803
1215,0.124852
1216,0.112646
1217,0.113240
1218,0.123028
1219,0.121083
1220,0.129204
1221,0.125717
1222,0.132803
1223,0.134925
1224,0.143150
1225,0.153453
1226,0.159519
1227,0.166759
1228,0.168250
1229,0.165739
1230,0.163467
1231,0.162770
1232,0.165139
1233,0.168221
1234,0.177007
1235,0.172603
1236,0.180146
1237,0.171738
1238,0.159149
1239,0.154159
1240,0.162343
1241,0.156939
1242,0.148753
1243,0.139217
1244,0.142120
1245,0.144044
1246,0.159094
1247,0.152549
1248,0.151142
1249,0.154422
1250,0.158815
1251,0.145463
1252,0.145826
1253,0.140372
1254,0.137495
1255,0.137984
1256,0.137813
1257,0.140292
1258,0.138885
1259,0.142988
1260,0.159108
1261,0.158953
1262,0.138845
1263,0.146282
1264,0.142729
1265,0.138183
1266,0.138395
1267,0.135336
1268,0.143095
1269,0.156256
1270,0.153415
1271,0.167976
1272,0.158987
1273,0.155252
1274,0.154234
1275,0.142911
1276,0.140616
1277,0.137246
1278,0.134986
1279,0.144266
1280,0.134748
1281,0.123405
1282,0.127975
1283,0.119710
1284,0.127279
1285,0.131721
1286,0.130272
1287,0.128804
1288,0.134149
1289,0.119489
1290,0.113988
1291,0.119820
1292,0.113551
1293,0.112093
1294,0.106752
1295,0.112396
1296,0.111258
1297,0.119722
1298,0.107938
1299,0.115229
1300,0.120070
1301,0.129860
1302,0.134338
1303,0.140994
1304,0.151378
1305,0.157946
1306,0.150600
1307,0.158144
1308,0.155398
1309,0.154588
1310,0.141178
1311,0.149049
1312,0.146165
1313,0.154511
1314,0.149953
1315,0.141740
1316,0.149141
1317,0.155390
1318,0.157399
1319,0.141797
1320,0.152201
1321,0.153104
1322,0.154616
1323,0.158097
1324,0.154621
1325,0.150826
1326,0.158994
1327,0.158974
1328,0.148090
1329,0.151245
1330,0.154032
1331,0.156071
1332,0.158659
1333,0.171687
1334,0.171150
1335,0.163398
1336,0.160853
1337,0.159524
1338,0.153652
1339,0.158993
1340,0.163124
1341,0.161630
1342,0.159864
1343,0.168535
1344,0.164568
1345,0.163207
1346,0.157488
1347,0.148469
1348,0.151579
1349,0.151697
1350,0.153439
1351,0.154692
1352,0.152776
1353,0.165011
1354,0.170151
1355,0.156582
1356,0.161639
1357,0.159138
1358,0.155653
1359,0.160316
1360,0.174378
1361,0.178254
1362,0.169460
1363,0.155139
1364,0.150545
1365,0.152856
1366,0.148217
1367,0.150604
1368,0.149692
1369,0.158632
1370,0.165414
1371,0.174766
1372,0.162395
1373,0.153679
1374,0.147935
1375,0.151347
1376,0.145380
1377,0.149276
1378,0.146230
1379,0.151400
1380,0.151083
1381,0.158496
1382,0.161600
1383,0.173761
1384,0.166840
1385,0.169971
1386,0.165680
